,time,BlkCnt,PriceBTC,PriceUSD,HashRate,DiffLast,BlkHeight,Reward,BTCGenFrmBlk,totalBTC,btcSupplyOnDate,s2f_ratio_10,s2f_ratio_usd_10,s2f_ratio_463,s2f_ratio_usd_463
2018-08-08,,,,,,,,,,,17198092.33222845,24.690275391103434,7089.377250971186,23.216835495863986,5786.586971352784
2018-08-09,,,,,,,,,,,17199954.83222299,24.452169608573254,6866.254925873612,23.213648081399263,5783.965751968182
2018-08-10,,,,,,,,,,,17202154.83203226,24.00278451639643,6458.562577870985,23.214032329397767,5784.281700351454
2018-08-11,,,,,,,,,,,17204279.83203226,23.703258901612656,6196.395126265103,23.202985214543613,5775.2029939771755
2018-08-12,,,,,,,,,,,17206217.33203152,23.676096309663457,6172.993622188582,23.21020156191407,5781.13238490202
2018-08-13,,,,,,,,,,,17208092.33203076,23.9195028816384,6384.907330813717,23.218705026100587,5788.124793498839
2018-08-14,,,,,,,,,,,17209792.33203076,24.54595373402047,6953.5440846093525,23.236243408829868,5802.565238885324
2018-08-15,,,,,,,,,,,17211804.83202991,24.532826870409398,6941.280029307262,23.237045913772786,5803.226591415815
2018-08-16,,,,,,,,,,,17213779.83202991,24.111331446458664,6555.44899055298,23.236419790741216,5802.710592518042
2018-08-17,,,,,,,,,,,17215679.83202445,24.09856009891647,6543.997359466493,23.233281435783795,5800.124701352081
2018-08-18,,,,,,,,,,,17217679.83181445,24.055168949620434,6505.194153323149,23.234066035760492,5800.7711080898425
2018-08-19,,,,,,,,,,,17219492.33156289,24.11934255458181,6562.639401560474,23.241113679038904,5806.579686452655
2018-08-20,,,,,,,,,,,17221367.33110289,24.530484632623168,6939.093329280299,23.248596817469135,5812.7516304371175
2018-08-21,,,,,,,,,,,17223217.33110221,24.889777189869097,7280.175258792286,23.2588005514065,5821.174833581995
2018-08-22,,,,,,,,,,,17225217.33110071,24.810696719484895,7204.122238559293,23.252013873171585,5815.571470162425
2018-08-23,,,,,,,,,,,17227079.83107268,24.829735785543793,7222.381571516945,23.25672938196308,5819.464391300316
2018-08-24,,,,,,,,,,,17228904.83104538,24.669780724169403,7069.9763302925385,23.257951217289634,5820.473382159787
2018-08-25,,,,,,,,,,,17230592.33104538,25.09947153581128,7484.5485724699265,23.2703362414785,5830.707810412922
2018-08-26,,,,,,,,,,,17232754.83104323,24.854304657720093,7245.991877418849,23.27066092885869,5830.976286084453
2018-08-27,,,,,,,,,,,17235067.33088593,24.328174795587678,6752.023511427538,23.26087422655762,5822.887696154101
2018-08-28,,,,,,,,,,,17236979.83085863,24.441309794178448,6856.196800617689,23.261187984634546,5823.146891961391
2018-08-29,,,,,,,,,,,17238717.33083133,24.539242192221828,6947.271796850637,23.273641339561973,5833.4411138420255
2018-08-30,,,,,,,,,,,17240642.33080327,24.478251122076824,6890.453060657041,23.276381865188565,5835.708195156079
2018-08-31,,,,,,,,,,,17242579.83077441,24.370250533968147,6790.636522989765,23.28189556960713,5840.271230339848
2018-09-01,,,,,,,,,,,17244467.33077441,24.515520545209327,6925.134272211221,23.28527204720705,5843.066765267564
2018-09-02,,,,,,,,,,,17246267.33077364,24.598035035737027,7002.3510106198055,23.296107013017934,5852.043810184263
2018-09-03,,,,,,,,,,,17248067.33074558,24.632735670009293,7035.002217250862,23.30591417028817,5860.17757360152
2018-09-04,,,,,,,,,,,17249642.33071828,24.780631541951788,7175.353917910822,23.31678755436312,5869.204840851428
2018-09-05,,,,,,,,,,,17251292.3304288,25.468929736612218,7854.305681396199,23.335380453514876,5884.663428554977
2018-09-06,,,,,,,,,,,17253167.33040071,26.088046307306005,8502.167215844844,23.342897068951945,5890.920972124273
2018-09-07,,,,,,,,,,,17255067.33037341,26.10897224225687,8524.693391388457,23.35183692601164,5898.369393210139
2018-09-08,,,,,,,,,,,17256942.33037341,25.91460287347307,8317.0544783931,23.353127498233942,5899.4452012196525
2018-09-09,,,,,,,,,,,17258979.83037341,25.758493595095572,8152.8607870221185,23.366078788337663,5910.248839915688
2018-09-10,,,,,,,,,,,17260667.33034611,26.117454518567627,8533.83615721943,23.377500482424143,5919.787964258345
2018-09-11,,,,,,,,,,,17262429.83034611,26.30208328531305,8734.5391458044,23.387996494240937,5928.563437593343
2018-09-12,,,,,,,,,,,17264529.8303345,25.87271656002658,8272.774884552677,23.38509696696323,5926.138303981343
2018-09-13,,,,,,,,,,,17266379.8303337,25.80476726345313,8201.29301187149,23.393638407961678,5933.284256137183
2018-09-14,,,,,,,,,,,17268029.8303064,25.70186002195445,8093.857114703483,23.40745657468916,5944.857543451912
